band,site,mb_side,recap,sex,how_sexed,initials,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,mass_2,mass_2_date,mass_3,mass_3_date,color_top,color_bottom,mb_tape,cb_side,lysis,amount,notes_1,nest_1,old_new_1,mate_band_1,ci_1,eggs_1,hatched_1,day_12_1,nest_fate_1,success_1,nest_2,old_new_2,mate_band_2,ci_2,eggs_2,hatched_2,day_12_2,nest_fate_2,success_2,notes_2,nest_3,old_new_3,mate_band_3,ci_3,eggs_3,hatched_3,day_12_3,nest_fate_3,success_3,notes_3,nest_4,old_new_4,mate_band_4,ci_4,eggs_4,hatched_4,day_12_4,nest_fate_4,success_4,notes_4,throat_avg_bright,throat_chroma,throat_hue,throat_total_bright,breast_avg_bright,breast_chroma,breast_hue,breast_total_bright,belly_avg_bright,belly_chroma,belly_hue,belly_total_bright,vent_avg_bright,vent_chroma,vent_hue,vent_total_bright,bird_notes,adult_manipulated,adult_treatment,nest_manipulated,nest_treatment,body_feathers,mass_4_date,mass_4,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts,adult_manipulation_date,nest_manipulation_date,additional_data,mass,morph_date,plasma,julian_date_captured,paint_left,paint_right,single_cb_color,cb_tape,total_rs,plasma_date,mass_5_date,mass_5,date_feather
2850-57551,Struthers,L,Y,F,BP,APP,2022-06-01,120.5,120.5,120.5,Y,Y,78,78,78,77.5,77.5,77.5,19,NA,NA,NA,NA,Lt Green,Dk Green,Green,R,Y,05-Jan,,10,old,2850-57552,2022-05-11,5,5,5,fledged,Y,20,old,2850-57552,2022-06-26,6,5,5,fledged,Y,one N found dead on day 18,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,21.72451147,0.519022756,619.0316667,43579.37,25.07222499,0.496796279,617.439,50294.88333,24.04588401,0.474288937,631.0536667,48236.04333,29.70191592,0.461660687,632.079,59582.04333,tape was still on so we didn't double check the band number; tattered right wing; ; ,N,NA,N,,Y,NA,NA,2022,131,177,NA,NA,120.5,77.5,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57552,Struthers,L,Y,M,"TS, color",APP,2022-06-01,124.5,124,124,N,Y,95.5,95.5,95.5,95,95,95,17.6,NA,NA,NA,NA,Orange,Red,NONE,R,Y,08-Jan,,10,old,2850-57551,2022-05-11,5,5,5,fledged,Y,20,old,2850-57551,2022-06-26,6,5,5,fledged,Y,one N found dead on day 18,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,16.47890661,0.541955633,652.3853333,33056.68667,28.13388501,0.471008287,636.077,56436.57333,26.12840312,0.473146464,630.4126667,52413.57667,25.80811565,0.486261458,632.783,51771.08,"bug in mouth, poked both sides for blood; ; ",N,NA,N,,Y,NA,NA,2022,131,177,NA,NA,124.1666667,95,95.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57557,Cooks,L,Y,M,CP,IJM,2022-06-24,117,117,117,Y,Y,83.5,84,83.5,84,84,84,18.25,NA,NA,NA,NA,Lt Blue,Lt Green,NONE,R,Y,04-Jan,apparently left the barn after 1st brood,6,old,2850-57609,2022-05-15,5,5,5,fledged,Y,,,,NA,NA,NA,,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,14.35665503,0.503765598,644.0546667,28799.45,21.70364905,0.515457829,644.0546667,43537.52,15.87132436,0.509334773,611.004,31837.87667,19.32620306,0.47860699,611.004,38768.36333,; ; ,N,NA,N,,Y,NA,NA,2022,135,NA,NA,NA,117,84,83.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57560,Golden Grizzly,NA,Y,M,CP,RJS,2022-07-14,121,121,121,Y,Y,95,95,95,96,96,96,17.8,NA,NA,NA,NA,Red,Purple,NONE,NA,Y,08-Jan,,,,,NA,,,,,,,,,NA,NA,NA,,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,10.43612496,0.519878797,643.4203333,20934.86667,17.78415753,0.494989223,643.7406667,35675.02,20.44567464,0.477242442,611.004,41014.02333,17.90873214,0.482463325,660.109,35924.91667,; yellow sharpie; ,N,NA,N,,Y,NA,NA,2022,NA,NA,NA,NA,121,96,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57563,Schaap,R,Y,M,CP,RJS,2022-07-05,117,117,117,Y,Y,88,88,88,89,89,89,16.4,NA,NA,NA,NA,Lt Green,Red,NONE,R,Y,04-Mar,,,,,NA,,,,,,,,,NA,NA,NA,,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,13.03856929,0.504731096,637.359,26155.37,29.04445331,0.455219003,622.444,58263.17333,23.97347624,0.490531745,640.776,48090.79333,21.79483549,0.498043955,643.7406667,43720.44,; Yellow sharpie; ,N,NA,N,,Y,NA,NA,2022,NA,NA,NA,NA,117,89,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57565,Blue Cloud,R,Y,M,"color, TS",HKD,2022-06-06,121.5,122,121.5,Y,Y,92.5,92.5,92.5,94,94,94,18.58,NA,NA,NA,NA,Yellow,Lt Green,Yellow,L,Y,03-Jan,caught in shed @ nest 19,19,old,2850-57870,2022-05-21,3,3,0,failed,N,24,old,2850-57870,2022-06-22,5,5,5,fledged,Y,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,9.62943669,0.530689809,643.1126667,19316.65,17.44787139,0.503329628,673.076,35000.43,18.22828681,0.492153315,643.1063333,36565.94333,20.49204719,0.473984494,626.4176667,41107.04667,; ; ,N,NA,N,,Y,NA,NA,2022,141,173,NA,NA,121.6666667,94,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57567,Colorado Horse Rescue,L,Y,M,"CP, color",RS,2022-06-17,121.5,121.5,121.5,Y,Y,102.5,102.5,102.5,102,102.5,102,16.6,NA,NA,NA,NA,DK Blue,White,NONE,R,Y,02-Jan,,43,old,2850-57736,2022-05-29,5,5,4,fledged,Y,,,,NA,NA,NA,,,,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,10.56012296,0.52180729,667.1156667,21183.60667,26.35612994,0.49271154,611.3883333,52870.39667,22.28285809,0.48721335,606.0566667,44699.41333,16.73888169,0.511359264,628.0706667,33578.19667,; ; ,N,NA,N,,Y,NA,NA,2022,149,NA,NA,NA,121.5,102.1666667,102.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57568,Colorado Horse Rescue,L,Y,F,BP,HKD,2022-06-17,118,118,118,N,Y,NA,NA,NA,79.5,79.5,79.5,15.37,NA,NA,NA,NA,Pink,Orange,NONE,R,Y,03-Jan,estimated CI,96,old,2850-57806,2022-05-18,5,5,4,fledged,Y,96.2,old,2850-57806,2022-07-10,5,4,3,fledged,Y,,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,15.13231971,0.50506128,659.167,30355.43333,25.47213526,0.452418429,642.151,51097.10333,23.5398787,0.430572869,625.7763333,47220.99667,23.32200897,0.497056741,659.167,46783.95,; ; ,N,NA,N,,Y,NA,NA,2022,138,191,NA,NA,118,79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57570,Colorado Horse Rescue,L,Y,M,CP,ZML,2022-06-17,121.5,121.5,121.5,N,Y,NA,NA,NA,90,90,90,16.51,NA,NA,NA,NA,White,Orange,NONE,R,Y,05-Jan,,133,old,2850-57648,2022-06-10,3,1,1,fledged,Y,151,new,2850-57648,2022-06-30,4,3,3,failed,N,3N found dead in nest after day 12,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,16.84077767,0.501161039,611.004,33782.6,23.06811898,0.49586693,611.004,46274.64667,25.67366733,0.443766873,611.004,51501.37667,19.07592556,0.494641169,627.6863333,38266.30667,no lts; ; ,N,NA,N,,Y,NA,NA,2022,161,181,NA,NA,121.5,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850-57571,Colorado Horse Rescue,L,Y,F,BP,APP,2022-06-17,119,119.5,119,Y,N,86,86,85.5,79.5,79,79,20.23,NA,NA,NA,NA,White,Red,NONE,R,Y,03-Jan,,58,old,2850-57579,2022-05-24,4,3,3,fledged,Y,139,old,2850-57880,2022-06-18,4,3,1?,NA,NA,no nestlings banded because they either were predated or got too old. Unsure what happened only 1N seen on D13,NA,,,NA,NA,NA,NA,,,,NA,,,NA,NA,NA,NA,,,NA,16.76718677,0.503477031,659.167,33634.97667,24.15598039,0.482387459,642.4716667,48456.89667,22.57087571,0.47703029,625.7763333,45277.17667,14.77255068,0.53662753,666.1736667,29633.73667,; ; two different mates,N,NA,N,,Y,NA,NA,2022,144,169,NA,NA,119.1666667,79.16666667,85.83333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
