band,site,mb_side,recap,sex,how_sexed,initials,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,mass_2,mass_2_date,mass_3,mass_3_date,color_top,color_bottom,mb_tape,cb_side,lysis,amount,notes_1,nest_1,old_new_1,mate_band_1,ci_1,eggs_1,hatched_1,day_12_1,nest_fate_1,success_1,nest_2,old_new_2,mate_band_2,ci_2,eggs_2,hatched_2,day_12_2,nest_fate_2,success_2,notes_2,nest_3,old_new_3,mate_band_3,ci_3,eggs_3,hatched_3,day_12_3,nest_fate_3,success_3,notes_3,nest_4,old_new_4,mate_band_4,ci_4,eggs_4,hatched_4,day_12_4,nest_fate_4,success_4,notes_4,throat_avg_bright,throat_chroma,throat_hue,throat_total_bright,breast_avg_bright,breast_chroma,breast_hue,breast_total_bright,belly_avg_bright,belly_chroma,belly_hue,belly_total_bright,vent_avg_bright,vent_chroma,vent_hue,vent_total_bright,bird_notes,adult_manipulated,adult_treatment,nest_manipulated,nest_treatment,body_feathers,mass_4_date,mass_4,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts,adult_manipulation_date,nest_manipulation_date,additional_data,mass,morph_date,plasma,julian_date_captured,paint_left,paint_right,single_cb_color,cb_tape,total_rs,plasma_date,mass_5_date,mass_5,date_feather
2540-98999,Mayas,NA,Y,M,TS,JKH,2012-06-13,122,122,122,Y,Y,97,97,97,95,94.5,94.5,18,17.5,7/13/2012,0,NA,NA,NA,NA,NA,N,NA,NA,49,old,2540-98825,2012-05-02,5,5,5,Fledged,Y,48,old,2540-98825,2012-06-22,5,5,5,Fledged,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.71963278,0.514232991,627.46,37383.10667,36.78226239,0.414325566,680.1266667,73454.178,40.26041896,0.370021326,675.08,80400.05667,26.35358338,0.468914144,661.4933333,52628.106,;,N,NA,N,NA,Y,NA,NA,2012,123,174,NA,NA,122,94.66666667,97,NA,NA,Parasite and additional morphometric data available,NA,6/13/2012,Y,165,Green,Green,Hot Pink,Green,NA,6/13/2012,NA,NA,61312
2600-27205,Colorado Horse Rescue,NA,Y,M,TS,AH,2012-04-24,121,121,121,Y,Y,103,103,103,101,101,101,18,18.5,8/2/2012,0,NA,NA,NA,NA,NA,N,NA,NA,34,old,2391-83585,2012-05-21,2,0,0,FAILED,N,55,old,2391-83585,2012-06-03,5,5,0,FAILED,N,PREDATED,34.5,old,2391-83585,2012-07-06,4,4,4,FLEDGED,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4808219,0.509213977,669.3633333,22927.20133,23.94847238,0.468934777,667.75,47825.099330000005,18.40802487,0.512746332,667.06,36760.82567,33.07548439,0.489665888,628.1533333,66051.74233,;,N,NA,Y,Cross foster,Y,5/17/2012,17.75,2012,142,155,188,NA,121,101,103,NA,2012-06-20,Parasite and additional morphometric data available,NA,4/24/2012,Y,115,PURPLE,PURPLE,RED,NA,NA,8/2/2012,12-Jun,19.5,80212
2600-27206,Colorado Horse Rescue,NA,Y,F,TS,AKH,2012-04-24,114,114,113.5,Y,Y,81,81,81,80,80,80,18.25,17,6/14/2012,0,NA,NA,NA,NA,NA,N,NA,NA,19,old,2600-27208,2012-05-14,4,1,1,FLEDGED,Y,19.2,old,2600-27208,2012-07-02,4,0,0,FAILED,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.77912586,0.457787524,634.4033333,29513.91433,30.49662127,0.441738997,627.84,60901.75267,29.82576081,0.44257806,644.51,59562.04433,18.25177116,0.507775071,643.3633333,36448.787,;,N,NA,Y,Cross foster,Y,5/17/2012,16.75,2012,135,184,NA,NA,113.8333333,80,81,NA,2012-08-01,Parasite and additional morphometric data available,NA,4/24/2012,Y,115,PINK,GREEN,DK GREEN,NA,NA,4/24/2012,04-Jun,16,70912
2600-27208,Colorado Horse Rescue,NA,Y,M,TS,AKH,2012-04-24,116,115.5,115,Y,Y,92,92,92,95,94,95,17.5,17.5,6/14/2012,0,NA,NA,NA,NA,NA,N,NA,NA,19,old,2600-27206,2012-05-14,4,1,1,FLEDGED,Y,19.2,old,2600-27206,2012-07-02,4,0,0,FAILED,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.12200284,0.484701438,660.04,34192.63967,30.45027925,0.451744477,627.78,60809.20767,23.80736455,0.465271618,650.6933333,47543.307,21.48109414,0.461902689,667.37,42897.745,;,N,NA,Y,Cross foster,Y,7/2/2012,16.5,2012,135,184,NA,NA,115.5,94.66666667,92,NA,2012-08-01,Parasite and additional morphometric data available,NA,4/24/2012,Y,115,BLUE,PURPLE,DK BLUE,YELLOW,NA,?,26-Jul,17.25,70212
2600-27210,Colorado Horse Rescue,NA,Y,M,TS,AKH,2012-08-02,116,115.5,116,Y,Y,89,89,89,86,86.5,86,16.25,NA,NA,0,NA,NA,NA,NA,NA,N,NA,NA,33,old,2600-27211,2012-05-08,3,3,3,FLEDGED,Y,33.2,old,2600-27211,2012-06-26,5,5,5,FLEDGED,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.64443966,0.520490595,694.15,33238.946,24.81529878,0.478829702,679.7566667,49556.15167,25.05486062,0.481370004,595.4133333,50034.55667,18.54792355,0.509781301,653.4333333,37040.20333,;,N,NA,Y,Cross foster,Y,NA,NA,2012,129,178,NA,NA,115.8333333,86.16666667,89,NA,2012-07-14,Parasite and additional morphometric data available,NA,8/2/2012,Y,215,RED,NA,WHITE,RED,NA,8/2/2012,NA,NA,80212
2600-27211,Colorado Horse Rescue,NA,Y,F,NA,MRW,2012-08-02,115.5,116,115.5,N,Y,74,74,74,82,82,82,16.25,NA,NA,0,NA,NA,NA,NA,NA,Y,NA,NA,33,old,2600-27210,2012-05-08,3,3,3,FLEDGED,Y,33.2,old,2600-27210,2012-06-26,5,5,5,FLEDGED,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.65631764,0.534630745,637.74,31265.66633,36.08945902,0.425318964,554.3633333,72070.64967,33.58045118,0.410005775,592.1166667,67060.161,28.28418745,0.451517571,625.07,56483.52233,;,N,NA,Y,Cross foster,Y,NA,NA,2012,129,178,NA,NA,115.6666667,82,74,NA,2012-07-14,Parasite and additional morphometric data available,NA,8/2/2012,N,215,PINK,BLUE,YELLOW,RED,NA,NA,NA,NA,80212
2600-27212,Colorado Horse Rescue,NA,Y,M,TS,MRW,2012-04-24,114,114,114,Y,N,86,86,86,NA,NA,NA,16.5,15.5,7/9/2012,15.5,8/2/2012,NA,NA,NA,NA,N,NA,NA,6,old,2600-27328,2012-05-28,5,5,3,FLEDGED,Y,6.2,old,2600-27328,2012-07-13,4,4,4,FLEDGED,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.42297062,0.377707833,669.74,38787.67233,25.25081105,0.470805674,645.7033333,50425.86967,29.04444734,0.438858297,600.76,58001.76133,22.62007177,0.463697569,660.04,45172.28333,;,N,NA,Y,Cross foster,Y,6/14/2012,16,2012,149,195,NA,NA,114,NA,86,NA,2012-07-30,Parasite and additional morphometric data available,NA,4/24/2012,Y,115,GREEN ,RED,YELLOW,RED,NA,8/2/2012,NA,NA,70912
2600-27213,Colorado Horse Rescue,NA,Y,M,TS,JKH,2012-05-17,116,116,116,Y,Y,84,84.5,84.5,84,84,84,20.5,17.25,7/2/2012,17.5,8/2/2012,NA,NA,NA,NA,N,NA,NA,37,old,2540-98878,2012-05-24,5,3,3,FLEDGED,Y,79,new,2540-98878,2012-07-11,5,5,4,FLEDGED,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.75502036,0.407782269,677.16,53429.77567,28.41059406,0.46197858,682.07,56735.95632999999,28.68824537,0.44729117,619.4033333,57290.426,23.84840561,0.475373811,650.7466667,47625.266,;,N,NA,N,NA,Y,6/14/2012,19.25,2012,145,193,NA,NA,116,84,84.33333333,NA,NA,Parasite and additional morphometric data available,NA,5/17/2012,Y,138,NA,GREEN,WHITE,NA,NA,5/17/2012,NA,NA,51712
2600-27224,Colorado Horse Rescue,NA,Y,F,BP,LMB,2012-06-04,117,117,117,Y,Y,79,79,79,79,79,79,16.5,17,8/2/2012,0,NA,NA,NA,NA,NA,N,NA,NA,48,old,2600-27553,2012-05-29,4,4,0,FAILED,N,52,old,2600-27553,2012-07-06,3,3,1,FLEDGED,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33595994,0.558163659,671.44,26631.912,27.79690018,0.437661804,606.71,55510.40967000001,25.27802137,0.459589755,623.4333333,50480.20867,19.90246436,0.507190837,636.1133333,39745.22133,;,N,NA,Y,Cross foster,Y,6/14/2012,19,2012,150,188,NA,NA,117,79,79,NA,2012-06-19,Parasite and additional morphometric data available,NA,6/4/2012,Y,156,PURPLE,YELLOW,DK GREEN,RED,NA,7/9/2012,09-Jul,19,60412
2600-27227,Cargill,NA,Y,F,bp,cg,2012-05-22,118,117,117,N,Y,NA,NA,NA,85,83,84,19.5,16.5,7/14/2012,0,NA,NA,NA,NA,NA,N,NA,NA,47,old,?,2012-05-22,2,2,2,fledged,Y,52.1,new,?,2012-06-26,5,3,2,fledged,Y,NA,52.2,new,?,2012-08-18,4,0,0,failed,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.22608346,0.435947584,613.7366667,62358.48867,50.06040427,0.378444774,636.4133333,99970.62732999999,NA,NA,NA,NA,42.08502938,0.393641053,615.4133333,84043.80367,;,N,NA,N,NA,Y,NA,41076,2012,143,178,231,NA,117.3333333,84,NA,NA,NA,Parasite and additional morphometric data available,NA,5/22/2012,Y,143,NA,purple,yellow,red,NA,5/22/2012,17,NA,52212
2600-27234,Colorado Horse Rescue,NA,Y,F,BP,MRW,2012-04-24,122,122,122,Y,Y,84,84,84,83,83,83,18.5,18.25,7/9/2012,0,NA,NA,NA,NA,NA,N,NA,NA,11,old,2600-27405,2012-05-25,5,5,5,FLEDGED,Y,69,old,2600-27405,2012-07-05,5,5,5,FLEDGED,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.71934719,0.519190412,672.44,27397.53633,30.04705592,0.467522368,621.8066667,60003.97067,23.66833133,0.468537374,638.77,47265.65767,19.87013604,0.540551926,627.1166667,39680.66167,;,N,NA,Y,Cross foster,Y,5/17/2012,19,2012,146,187,NA,NA,122,83,84,NA,2012-06-12,Parasite and additional morphometric data available,NA,4/24/2012,Y,115,YELLOW,YELLOW,YELLOW,BLUE,NA,?,04-Jun,20,70912
2600-27239,Cargill,NA,Y,M,ts,ma,2012-06-16,120,120,120,N,Y,NA,NA,NA,92,92.5,92,16.5,NA,NA,0,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.12951844,0.465015669,622.42,62165.648329999996,19.70710566,0.459682333,659.4133333,39355.09,22.4470449,0.487978964,670.81,44826.74867,injury on gape;,N,NA,N,NA,Y,NA,NA,2012,NA,NA,NA,NA,120,92.16666667,NA,NA,NA,Parasite and additional morphometric data available,NA,5/22/2012,N,168,NA,blue,dk blue,NA,NA,NA,NA,NA,61612
2600-27241,Conoco,NA,Y,M,TS,JH,2012-05-17,121,121,121,N,Y,NA,NA,NA,98,98,98.5,17.5,NA,NA,0,NA,NA,NA,NA,NA,N,NA,NA,C6,old,2540-98841,2012-05-02,4,0,0,Failed,N,C1,old,2540-98841,2012-05-23,5,5,5,Fledged,Y,NA,C2,old,2540-98841,2012-07-01,5,5,0,Failed,N,Fell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.54217476,0.525305558,694.15,25046.723,25.57972592,0.443043554,619.05,51082.71267,26.38403221,0.448704915,600.4733333,52688.91233,10.49443582,0.560643145,658.41,20957.38833,;,N,NA,Y,Cross foster,Y,NA,NA,2012,123,144,183,NA,121,98.16666667,NA,NA,2012-06-12,Parasite and additional morphometric data available,NA,5/17/2012,Y,138,Blue,Red,Hot Pink,Blue,NA,5/17/2012,NA,NA,51712
2600-27242,Yale,NA,Y,M,TS,JKH,2012-05-28,120,120,120,Y,Y,94.5,94.5,95,94,94,94,17.5,NA,NA,0,NA,NA,NA,NA,NA,N,NA,NA,Y5,old,2600-27384,2012-05-16,5,4,4,Fledged,Y,Y6,new,2600-27384,2012-07-10,5,5,4,Fledged,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.51521399,0.554349879,663.7966667,24992.88233,23.21624053,0.497212566,632.45,46362.832330000005,24.34676982,0.426862507,606.7633333,48620.49933,18.22283025,0.54500799,646.3633333,36390.992,;,N,NA,Y,Cross foster,Y,NA,NA,2012,137,192,NA,NA,120,94,94.66666667,NA,2012-07-28,Parasite and additional morphometric data available,NA,5/28/2012,Y,149,Blue,Blue,Green,NA,NA,7/28/2012,NA,NA,52812
2600-27249,Golden Grizzly,NA,Y,F,BP,LMB,2012-06-26,117,117.5,117,Y,Y,64,64,64.5,74,74,74,20.25,NA,NA,0,NA,NA,NA,NA,NA,Y,NA,NA,19.2,old,2540-98994,2012-06-22,4,4,0,FAILED,N,19.3,old,2540-98994,2012-07-24,4,3,3,FLEDGED,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.12915707,0.439279813,641.7966667,62164.92667,64.71150159,0.327674615,679.06,129228.8687,52.59102487,0.356857992,640.75,105024.2767,39.20038658,0.396884417,644.4433333,78283.172,DOUBLE CHECK PREFIX;,N,NA,N,NA,Y,NA,NA,2012,174,206,NA,NA,117.1666667,74,64.16666667,NA,NA,Parasite and additional morphometric data available,NA,6/26/2012,N,178,RED,PUPRLE,GREEN,YELLOW,NA,NA,NA,NA,62612
2600-27251,Golden Grizzly,NA,Y,F,BP,AM,2012-05-21,117,117.5,118,Y,Y,77,77,77,77,77,77,19,18.5,6/25/2012,15.5,8/13/2012,NA,NA,NA,NA,N,NA,FELL MOVED TO 39,99.2,old,2540-98724,2012-06-13,3,3,3,FLEDGED,Y,99.3,old,2540-98724,2012-06-24,4,4,4,FLEDGED,Y,REBUILT 99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.88020214,0.550881916,635.7166667,29715.76367,23.56946603,0.484415026,637.4266667,47068.22367,23.61929644,0.482881663,595.7433333,47167.735,17.67703605,0.523093306,655.3933333,35301.041,DOUBLE CHECK PREFIX;,N,NA,N,NA,Y,NA,NA,2012,165,176,NA,NA,117.5,77,77,NA,NA,Parasite and additional morphometric data available,NA,5/21/2012,Y,142,RED,GREEN,WHITE,RED,NA,6/25/2012,NA,NA,52112
2600-27259,Schaap,NA,Y,F,BP,?,2012-06-18,116,116,116,Y,Y,77,77,77,77,76.5,77,18,16,7/20/2012,0,NA,NA,NA,NA,NA,N,NA,NA,26,old,2540-98833,2012-06-09,4,4,3,FLEDGED,Y,76,old,2540-98833,2012-07-22,3,0,0,FLEDGED,N,NA,76.2,old,2540-98833,2012-07-31,4,4,1,FLEDGED,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.81719412,0.432346939,661.18,57547.93667,38.9939117,0.382919656,615.8,77870.84167,24.77747338,0.424629499,660.04,49480.61433,;,N,NA,Y,Cross foster,Y,7/11/2012,17.5,2012,161,204,213,NA,116,76.83333333,77,NA,2012-06-28,Parasite and additional morphometric data available,NA,6/18/2012,Y,170,RED,NONE,LAVENDER,BLUE,NA,8/13/2012,13-Aug,18,61812
2600-27264,Fisher,NA,Y,M,TS,CV,2012-07-23,119,119,119,Y,Y,94,95,95,92,93,93,19.25,NA,NA,0,NA,NA,NA,Green,NA,N,NA,NA,52,old,2600-27268,2012-05-20,5,3,3,Fledged,Y,6.2,old,2600-27268,2012-07-04,5,5,4,Fledged,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5454193,0.39280198,604.4333333,84963.20233,33.66235003,0.418377586,576.0466667,67223.713,NA,NA,NA,NA,;,N,NA,N,NA,Y,NA,NA,2012,141,186,NA,NA,119,92.66666667,94.66666667,NA,NA,Parasite and additional morphometric data available,NA,7/23/2012,Y,205,Blue,NA,Hot Pink,NA,NA,7/23/2012,NA,NA,72312
2600-27265,Fisher,NA,Y,F,TS/BP,CV,2012-05-16,113,114,114,Y,Y,77,77,77,77,77,77,17.75,17.25,7/12/2012,0,NA,NA,NA,NA,NA,Y,NA,NA,34,old,2600-27756,2012-05-20,2,1,1,Fledged,Y,34.2,old,2600-27756,2012-07-05,4,4,4,Fledged,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.08929027,0.51197577,605.0733333,36124.31267,36.65194859,0.428566246,589.7566667,73193.94133,38.56857853,0.422418545,566.7166667,77021.45133,24.74335587,0.478027131,620.7866667,49412.48167,;,N,NA,N,NA,Y,NA,NA,2012,141,187,NA,NA,113.6666667,77,77,NA,NA,Parasite and additional morphometric data available,NA,5/16/2012,Y,137,Yellow,Green,Red,NA,NA,7/12/2012,NA,NA,51612
2600-27285,Arapahoe,NA,Y,M,TS,AKH,2012-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;,N,NA,N,NA,N,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite and additional morphometric data available,NA,NA,N,129,NA,NA,White,NA,NA,NA,NA,NA,NA
2600-27286,Fisher,NA,Y,F,BP,?,2012-05-16,119,120,119,Y,Y,79,79.5,79,80,82,82,19.5,NA,NA,0,NA,NA,NA,Red,NA,N,NA,NA,52,old,2600-27264,2012-05-20,5,3,3,Fledged,Y,6.2,old,2600-27264,2012-07-04,5,5,4,Fledged,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;,N,NA,N,NA,Y,NA,NA,2012,141,186,NA,NA,119.3333333,81.33333333,79.16666667,NA,NA,Parasite and additional morphometric data available,NA,5/16/2012,Y,137,Purple,Purple,Orange,NA,NA,5/16/2012,NA,NA,NA
2600-27294,Colorado Horse Rescue,NA,Y,M,TS,AKH,2012-04-24,120,120,120,Y,Y,104.5,105,105,105.5,105.5,105.5,18.5,17,8/2/2012,0,NA,NA,NA,NA,NA,N,NA,NA,67,old,2540-98650,2012-05-04,3,0,0,FAILED,N,66,old,2540-98650,2012-06-10,2,2,2,Fledged,Y,NA,16,old,2540-98650,2012-07-11,5,0,0,FAILED,N,UNHATCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8487129,0.46986103,638.4666667,45628.87967,26.82132549,0.44474566,608.13,53562.187000000005,28.25498498,0.448278815,626.0766667,56425.205,23.51489217,0.474707303,658.44,46959.23967,;,N,NA,N,NA,Y,5/17/2012,18.5,2012,125,162,193,NA,120,105.5,104.8333333,NA,NA,Parasite and additional morphometric data available,NA,4/24/2012,Y,115,BLUE,BLUE,DK BLUE,NA,NA,?,NA,NA,70912
2600-27303,Struthers,NA,Y,F,BP,JKH,2012-05-29,120,120,120,N,Y,NA,NA,NA,80,80,80,23.5,NA,NA,0,NA,NA,NA,WHITE,NA,N,NA,NA,21,old,2600-27388,2012-05-20,5,5,2,FLEDGED,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.33432382,0.507331876,660.8,38610.64467,23.96804791,0.434406179,661.18,47864.19167,28.75543665,0.441016733,644.51,57424.607,22.53776248,0.459930218,644.13,45007.91167,;,N,NA,Y,Cross foster,Y,NA,NA,2012,141,NA,NA,NA,120,80,NA,NA,2012-06-09,Parasite and additional morphometric data available,NA,5/29/2012,Y,150,BLUE,GREEN,NA,NA,NA,5/29/2012,NA,NA,52912
2600-27304,Cozy Shack,NA,Y,F,bp,akh,2012-06-13,117,117,117,Y,Y,85,84.5,85,85,85,85,21,NA,NA,0,NA,NA,NA,NA,NA,N,NA,NA,1,old,2600-27619,2012-06-02,5,4,4,fledged,Y,1.2,old,2600-27619,2012-07-13,4,4,4,fledged,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.10037389,0.453852456,661.18,54119.44667,43.93236405,0.394447367,661.18,87732.931,33.31642414,0.387929471,644.13,66532.899,38.463333,0.398779296,661.18,76811.276,;,N,NA,Y,Cross foster,Y,NA,NA,2012,154,195,NA,NA,117,85,84.83333333,NA,2012-06-16; 2012-08-01,Parasite and additional morphometric data available,NA,6/13/2012,Y,165,red,red,NA,NA,NA,6/13/2012,NA,NA,61312
2600-27306,Golden Grizzly,NA,Y,M,TS,LMB,2012-05-21,118,118,118,N,N,NA,NA,NA,NA,NA,NA,17.5,19,6/25/2012,0,NA,NA,NA,NA,NA,Y,NA,NA,123,new,2600-27439,2012-06-28,2,0,0,FAILED,N,123.2,old,2600-27439,2012-07-29,3,3,3,FLEDGED,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.34991287,0.483840975,625.0666667,44632.776,17.97316258,0.518796663,667.0166667,35892.40567,25.63662561,0.467582131,614.74,51196.34133,17.34072926,0.528375899,653.78,34629.43633,;,N,NA,N,NA,Y,NA,NA,2012,180,211,NA,NA,118,NA,NA,NA,NA,Parasite and additional morphometric data available,NA,5/21/2012,N,142,PINK,GREEN,HOT PINK,GREEN,NA,NA,NA,NA,52112
2600-27307,Golden Grizzly,NA,Y,M,TS,AM,2012-05-21,118,118.5,118.5,Y,Y,96,96,96,91,92,91.5,17,17.75,6/25/2012,0,NA,NA,NA,NA,NA,N,NA,NA,112,old,2540-98911,2012-06-16,4,3,3,FLEDGED,Y,31.2,old,2540-98911,2012-08-04,4,3,3,FLEDGED,Y,TONS OF MITES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.91634101,0.439309519,644.51,41769.933,31.16664564,0.459939484,661.18,62239.79132999999,31.91740644,0.426753805,644.51,63739.06067,27.5987972,0.464385754,661.18,55114.798,;,N,NA,Y,Cross foster,Y,NA,NA,2012,168,217,NA,NA,118.3333333,91.5,96,NA,2012-08-22,Parasite and additional morphometric data available,NA,5/2/2012,Y,142,YELLOW,PURPLE,LT BLUE,RED,NA,5/21/2012,NA,NA,52112
2600-27315,Schaap,NA,Y,F,BP,JKH,2012-05-24,111,111.5,111.5,Y,Y,76,76,76,74,74,74,17,18.5,8/13/2012,0,NA,NA,NA,NA,NA,N,NA,NA,74.2,old,2540-44547,2012-06-05,5,5,5,FLEDGED,Y,16,old,2540-44547,2012-07-28,3,3,0,FAILED,N,all gone 2 days after hatching,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.42851043,0.442089471,661.4933333,64759.73533,43.5068668,0.383227513,644.51,86883.213,49.41011183,0.337137109,661.18,98671.99333,37.56499266,0.429223284,661.18,75017.29033,;,N,NA,Y,Cross foster,Y,6/18/2012,18.75,2012,157,210,NA,NA,111.3333333,74,76,NA,2012-06-23,Parasite and additional morphometric data available,NA,5/24/2012,Y,145,RED,PURPLE,RED,NA,NA,8/13/2012,NA,NA,52412
2600-27318,Cargill,NA,Y,F,ts,ma,2012-05-22,116,115.5,116,Y,Y,74,75,75,76,77,77,16,NA,NA,0,NA,NA,NA,yellow,NA,N,NA,NA,48,old,2540-98896,2012-06-26,4,0,0,failed,N,43,old,2540-98896,2012-08-16,3,3,3,fledged,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.28938591,0.561850057,679.3933333,28535.90367,27.92247538,0.470503419,632.03,55761.18332999999,59.88306426,0.349552995,609.4933333,119586.4793,18.50489902,0.542880046,646.7433333,36954.28333,;,N,NA,N,NA,Y,NA,41076,2012,178,229,NA,NA,115.8333333,76.66666667,74.66666667,NA,NA,Parasite and additional morphometric data available,NA,5/22/2012,N,143,pink,blue,lavender,NA,NA,NA,19,NA,52212
2600-27323,Autumn Hill,NA,Y,F,tail,MA,2012-06-08,118,117.5,119,Y,Y,79,80,80.5,76,77,77,19,18.5,8/2/2012,0,NA,NA,NA,red,NA,N,NA,NA,145,new,2600-27589,2012-07-01,5,0,0,failed,N,145.2,old,2600-27589,2012-07-27,4,0,0,didn't hatch,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0259975,0.491216367,635.0833333,37994.917,29.11491254,0.4230641,638.77,58142.48033,40.1686221,0.338098513,657.4066667,80216.73833,23.53781656,0.511400221,646.42,47005.01967,;,N,NA,N,NA,Y,NA,NA,2012,183,209,NA,NA,118.1666667,76.66666667,79.83333333,NA,NA,Parasite and additional morphometric data available,NA,6/8/2012,N,160,green,green,red,NA,NA,NA,NA,NA,60812
2600-27324,Autumn Hill,NA,Y,M,tail and color,JHK,2012-06-08,118,118,118,Y,Y,89,89,89,88,88,88,17.75,18,6/8/2012,0,NA,NA,NA,NA,NA,N,NA,NA,137,new,unb,2012-06-07,5,5,0,failed,N,137.2,new,unb,2012-07-04,3,3,3,fledged,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.25404407,0.523997044,693.4033333,28465.326,17.91959706,0.51885867,675.79,35785.43533,14.13396061,0.497461951,640.4166667,28225.51933,11.35297162,0.576094197,688.8,22671.88433,;,N,NA,N,NA,Y,NA,NA,2012,159,186,NA,NA,118,88,89,NA,NA,Parasite and additional morphometric data available,NA,6/8/2012,Y,160,pink,blue,NA,blue,NA,5/30/2012,NA,NA,53012
