"","band","first_date","first_year","index","adult.nestl","est.age","site_2022","certainty"
"132","2850-57701","2020-07-28",2020,3,"M",3,"Schaap ","good"
"133","2850-57730","2021-08-12",2021,2,"F",2,"CHR","good"
"134","2850-57731","2021-08-12",2021,2,"M?",2,"CHR","good"
"135","2850-57733","2021-08-12",2021,2,"M",2,"CHR","good"
"136","2850-57735","2021-08-12",2021,2,"F",2,"CHR","good"
"137","2850-57736","2021-08-12",2021,3,"F",2,"CHR","good"
"138","2850-57737","2021-08-12",2021,2,"F",2,"CHR","good"
"139","2850-57737","2021-08-12",2021,3,"F",2,"CHR","good"
"140","2850-57741","2022-06-10",2022,1,"F",1,"Erica's","low"
"141","2850-57742","2022-06-17",2022,1,"M",1,"CHR","low"
"142","2850-57743","2022-06-17",2022,1,"M",1,"CHR","low"
"143","2850-57744","2022-06-17",2022,1,"M",1,"CHR","low"
"144","2850-57745","2022-06-17",2022,2,"M",1,"CHR","low"
"145","2850-57746","2022-06-17",2022,2,"F",1,"CHR","low"
"146","2850-57747","2022-07-03",2022,1,"F",1,"Maya's","low"
"147","2850-57749","2022-07-27",2022,1,"F",1,"Cooks","good"
"148","2850-57750","2022-08-11",2022,2,"M",1,"Make Believe","good"
"149","2850-57751","2022-08-15",2022,1,"M",1,"Jays","low"
"150","2850-57752","2022-08-15",2022,1,"M",1,"McCauley","low"
"151","2850-57753","2022-08-15",2022,1,"F",1,"McCauley","low"
"152","2850-57806","2020-05-30",2020,3,"M?",3,"CHR","good"
"153","2850-57808","2020-05-30",2020,3,"M",3,"CHR","good"
"154","2850-57846","2020-07-25",2020,4,"F",3,"CHR","good"
"155","2850-57853","2021-06-01",2021,2,"F",2,"Cooks","good"
"156","2850-57868","2022-06-01",2022,1,"M",1,"Urban Farm Girlz","good"
"157","2850-57869","2022-06-06",2022,2,"F",1,"Blue Cloud","good"
"158","2850-57870","2022-06-06",2022,1,"F",1,"Blue Cloud","good"
"159","2850-57871","2022-06-06",2022,2,"F",1,"Blue Cloud","good"
"160","2850-57872","2022-06-07",2022,1,"F",1,"Make Believe","good"
