proofed_by,entered_by,band,site,mb_side,recap,sex,how_sexed,initials,date,rwl1,rwl2,rwl3,lts1,lts2,lts3,intact_lts,rts1,rts2,rts3,intact_rts,mass_1,mass_2_date,mass_2,mass_3_date,mass_3,mass_4_date,mass_4,body_feathers,notes,color_top,color_bottom,mb_tape,cb_side,other_marks,lysis,adult_manipulated,adult_treatment,nest_manipulated,nest_treatment,nest_1,old_new_1,mate_band_1,ci_1,eggs_1,hatched_1,day_12_1,success_1,nest_fate_1,notes_1,nest_2,old_new_2,mate_band_2,ci_2,eggs_2,hatched_2,day_12_2,success_2,nest_fate_2,notes_2,nest_3,old_new_3,mate_band_3,ci_3,eggs_3,hatched_3,day_12_3,success_3,nest_fate_3,notes_3,nest_4,old_new_4,mate_band_4,ci_4,eggs_4,hatched_4,day_12_4,success_4,nest_fate_4,notes_4,pairing_notes
IJM,HKD,2850-57676,Cooks,L,N,M,CP,ASF,2022-07-01,115,115,115.5,71.5,71.5,71.5,Y,74,74,74.5,Y,15.04,,,,,,,Y,,Black,Red,NONE,R,,Y,N,,N,,27,old,2850-57664,2022-06-18,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,HKD,2850-57853,Cooks,L,Y,F,BP,RS,2022-05-28,114,114,114,80,80.5,80.5,Y,78.5,78.5,78.5,Y,20.9,2022-07-18,18.54,,,,,Y,caught with pink powder from nest 29 5/28/22. ,White,White,Green,R,,Y,N,,N,,29,old,2850-57638,2022-05-13,5,5,5,Y,fledged,,8,old,2850-57638,2022-07-02,5,5,5,N,failed,all 5N found dead day 17 covered in mites,,,,,,,,,,,,,,,,,,,,,
IJM,HKD,2850-57638,Cooks,L,N,M,"TS, color",HKD,2022-05-28,122,122,122,105,105,105,Y,99,99,99,Y,16.53,,,,,,,Y,TS asymmetrical,Black,White,Green,R,,Y,N,,N,,29,old,2850-57853,2022-05-13,5,5,5,Y,fledged,,8,old,2850-57853,2022-07-02,5,5,5,N,failed,all 5N found dead day 17 covered in mites,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57573,Cooks,L,N,M,CP,RS,2022-05-28,117,117,117.5,87,87,87,Y,87,88,87.5,Y,18.3,,,,,,,Y,"tails curled and a bit rough, caught near front entrance/horse stall",Orange,Orange,NONE,R,tail streamers curled and a bit rough,Y,N,,Y,ibutton,31,old,2850-57663,2022-05-29,4,4,4,Y,fledged,ibutton nest,14,old,2850-57663,2022-07-19,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
HKD,IJM,2850-57663,Cooks,R,N,F,BP,IJM,2022-06-24,115.5,115.5,115,78.5,78.5,78.5,Y,67,67,67,N,15.86,,,,,,,Y,,Orange,Dk Blue,Green,L,no tape,Y,N,,Y,ibutton,31,old,2850-57573,2022-05-29,4,4,4,Y,fledged,ibutton nest,14,old,2850-57573,2022-07-19,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,HKD,2850-57700,Cooks,L,N,F,BP,HKD,2022-07-18,115.5,115,115.5,73,72.5,72.5,Y,73.5,73.5,73.5,Y,18.41,,,,,,,Y,"caught off nest #33, very wiggly and squawky",Dk Blue,Purple,NONE,R,,Y,N,,N,,33,old,2870-64915,2022-07-06,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,HKD,2870-64915,Cooks,L,N,M,CP,APP,2022-08-10,120,120,119.5,91.5,91.5,92,Y,92.5,92.5,92.5,Y,16.13,,,,,,,Y,,Dk Blue,Lt Blue,NONE,R,,Y,N,,N,,33,old,2850-57700,2022-07-06,4,4,4,Y,fledged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57665,Cooks,L,N,M,CP,IJM,2022-06-24,125.5,125.5,125,94.5,94.5,94,Y,NA,NA,NA,N,18.44,2022-07-18,17.63,,,,,Y,No color bands given because missing right foot - named Pirate,NA,NA,NONE,NA,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,floater male? not asigned to any nest as of 10/12/22
IJM,NC,2870-64914,Cooks,L,N,F,BP,APP,2022-08-10,114,114,114,72,72,72,Y,72,72,72.5,Y,16.29,,,,,,,Y,,LT Green,Yellow,NONE,R,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNB female caught in barn late in the season, not assigned any nest"
IJM,NC,2811-83207,Dome House,R,Y,F,BP,HKD,2022-06-13,118,118,118,75,75,75.5,Y,76,76,75.5,Y,18.67,,,,,,,Y,,Orange,Purple,Green,L,,Y,N,,N,,1,old,2850-57643,2022-06-02,3,2,2,Y,fledged,,2,old,2850-57643,2022-07-17,5,4,4,N,failed,4N found dead D14,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57643,Dome House,R,N,M,CP,HKD,2022-06-13,121.5,122,122,89,89.5,89,Y,89.5,89.5,89,Y,18,,,,,,,Y,,Dk Green,Red,NONE,L,,Y,N,,N,,1,old,2811-83207,2022-06-02,3,2,2,Y,fledged,,2,old,2811-83207,2022-07-17,5,4,4,N,failed,4N found dead D14,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2811-00632,Erica's,R,Y,M,TS,ASF,2022-06-10,126,126,126,98,98,98,N,101,101,101.5,Y,19.7,,,,,,,Y,,Red,Lt Blue,NONE,L,,Y,N,,N,,1,old?,2850-57741,2022-05-22,3,3,0,N ,predated,Ci estimated ,2,old,2850-57741,2022-06-23,4,4,0,N,failed,CI estimated; chicks likely died from heat,3,old,2850-57741,2022-07-24,5,2,0,N,predated,,,,,,,,,,,,
IJM,NC,2850-57741,Erica's,L,N,F,BP,HKD,2022-06-10,113.5,114,113.5,NA,NA,NA,N,73,73,73,Y,17.9,,,,,,,Y,LTS is broken,LT Green,Black,NONE,R,,Y,N,,N,,1,old?,2811-00632,2022-05-22,3,3,0,N,predated,CI estimated,2,old,2811-00632,2022-06-23,4,4,0,N,failed,CI estimated; chicks likely died from heat,3,old,2811-00632,2022-07-24,5,2,0,N,predated,,,,,,,,,,,,
IJM,NC,2350-21096,Grizz,R,Y,F,BP,RJS,2022-07-14,116,116,116,NA,NA,NA,N,77.5,77.5,77.5,Y,18.6,,,,,,,Y,,Pink,Orange,NONE,L,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57519,Grizz,R,Y,F,BP,ZML ,2022-07-14,123,123,123,78,78,78,Y,79,79,79,Y,19.83,,,,,,,Y,,Black,Dk Green,NONE,L,green sharpie,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57560,Grizz,NA,Y,M,CP,RJS,2022-07-14,121,121,121,95,95,95,Y,96,96,96,Y,17.8,,,,,,,Y,,Red,Purple,NONE,NA,yellow sharpie,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2870-65008,Grizz,NA,NA,unknown ,NA,SG?,2022-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,N,,NA,NA,NA,NA,,N ,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57697,Grizz,L,N,M,CP,HKD,2022-07-14,118.5,118.5,118.5,88,88.5,88,Y,89,88.5,89,Y,16.17,,,,,,,Y,,NA,NA,NA,NA,red sharpie,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57898,Grizz,L,N,M,no brood patch,ZML ,2022-07-14,118,118,118,85.5,85.5,85.5,Y,88,88,88,Y,16.13,,,,,,,Y,,NA,NA,NA,NA,green sharpie,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57900,Grizz,R,N,F,BP,APP,2022-07-14,115,115,115.5,NA,NA,NA,N,73.5,73.5,74,Y,16.88,,,,,,,Y,,NA,NA,NA,NA,purple sharpie,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2870-64901,Grizz,R,N,F,BP,NC,2022-07-14,115,115,115,69,69,69,Y,69,69,69,Y,16.49,,,,,,,Y,,NA,NA,NA,NA,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2870-64903,Grizz,R,N,F,BP,NC,14-Jul,114.5,114.5,115,74,74.5,74,Y,73,73,73,Y,18.46,,,,,,,Y,,NA,NA,NA,NA,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2870-64904,Grizz,R,N,M?,CP,IJM,2022-07-14,124,124,124,90,90.5,90.5,Y,NA,NA,NA,N,18.48,,,,,,,Y,,NA,NA,NA,NA,green sharpie,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2870-65005,Grizz,L,N,F,BP,RJS,2022-07-14,117.5,117.5,117.5,74,74,74,Y,74,74,74,Y,19.1,,,,,,,Y,,NA,NA,NA,NA,yellow sharpie,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2870-65006,Grizz,L,N,unknown,NA,RJS,2022-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,N,fledgling,NA,NA,NA,NA,,N ,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2870-65007,Grizz,L,N,F,BP,RJS,2022-07-14,117.5,117.5,117.5,81.5,81.5,81.5,Y,79,80,79,Y,16.5,,,,,,,Y,,NA,NA,NONE,NA,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2870-65009,Grizz,R,N,F,BP,SRG,2022-07-14,116,116,116.5,74,74.5,74.5,Y,75.5,75.5,75.5,Y,17.3,,,,,,,Y,,NA,NA,NA,NA,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS,HKD,2870-64912,James Ditch,R,N,F,BP,APP,2022-08-09,118,118,118,77,77,77.5,Y,77.5,77,77.5,Y,17.21,,,,,,,Y,"nest not monitored, at least one attempt with 3E and 3N fledged",White,Purple,NONE,L,,Y,N,,N,,unknown,unknown,2870-64913,unknown,unkown,unknown,unknown,unknown,unknown,"nest not monitored, at least one attempt with 3E and 3N fledged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS,HKD,2870-64913,James Ditch,R,N,M,CP,APP,2022-08-09,119.5,120,120,74,74,74.5,Y,85,85,84.5,Y,17.38,,,,,,,Y,"nest not monitored, at least one attempt with 3E and 3N fledged",Dk Green,Purple,NONE,L,,Y,N,,N,,unknown,unknown,2870-64912,unknown,unkown,unknown,unknown,unknown,unknown,"nest not monitored, at least one attempt with 3E and 3N fledged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57751,Jays,L,N,M,CP,ASF,2022-08-15,124,124,124,NA,NA,NA,N,96,96,96,Y,17.75,,,,,,,Y,many feathers fell off one at a time,Black,Black,NONE,R,,Y,N,,N,,1,old,2850-57660,2022-07-23,4,0,0,N,predated,not confirmed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caught adjacent to the one active nest; no other birds in barn; couldn't officially confirm ID
IJM,NC,2850-57636,Jays,L,Y,M,CP,ASF,2022-06-23,121,121,121,91.5,92,92,Y,94,94,94,Y,17.07,,,,,,,Y,,Dk Blue,Orange,NONE,R,,Y,N,,N,,2,new,2850-57660,2022-06-22,3+,0,0,N,unhatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male died after 1st attempt and was found by site owner
IJM,NC,2850-57660,Jays,L,N,F,BP,NC,2022-06-23,115,115,115,73.5,73.5,73.5,Y,NA,NA,NA,N,16.57,,,,,,,Y,RTS broken/almost completely gone,Lt Blue,Dk Green,White,R,,Y,N,,N,,2,new,2850-57636,2022-06-22,3+,0,0,N,unhatched,,1,old,2850-57751,2022-07-23,4,0,0,N,predated,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57661,Karen's ,L,N,F,BP,NC ,2022-06-24,120,120,120,79.5,79.5,79.5,Y,78.5,78.5,78,Y,16.65,,,,,,,Y,,Lt Blue,Yellow,NONE,R,,Y,N,,Y,ibutton,1,old?,2850-57662,2022-05-30,4,3,0,N,predated,ibutton,1.2,old ,2850-57662,2022-07-05,5,3,3,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57662,Karen's ,R,N,M,CP,ASF,2022-06-24,120,120,120,NA,NA,NA,N,NA,NA,NA,N,17.29,,,,,,,Y,both tail streamers regrowing,Red,White,NONE,L,,Y,N,,Y,ibutton,1,old?,2850-57661,2022-05-30,4,3,0,N,predated,ibutton,1.2,old ,2850-57661,2022-07-05,5,3,3,Y,fledged,,,,,,,,,,,,,,,,,,,,,,
IJM,NC,2850-57874,Make Believe,L,N,F,BP,APP,2022-06-07,117,117,117.5,74,74,74,Y,75,75,75,Y,20.24,,,,,,,Y,,Black,Dk Green,NONE,R,,Y,N,,N,,8,old,2850-57875,2022-05-31,4,4,4,Y,fledged,,8.2,old,2850-57875,2022-07-16,5,0,0,N,unhatched,,,,,,,,,,,,,,,,,,,,,,caught in side barn 
IJM,NC,2850-57875,Make Believe,L,N,M,CP,APP,2022-06-07,120,120,120,78.5,78,78,Y,85,85.5,85,Y,18.35,2022-06-14,18.04,2022-07-04,17.34,,,Y,,Pink,Lt Green,NONE,R,,Y,N,,N,,8,old,2850-57874,2022-05-31,4,4,4,Y,fledged,,8.2,old,2850-57874,2022-07-16,5,0,0,N,unhatched,,,,,,,,,,,,,,,,,,,,,,caught in side barn 
