"date","initials","day12","est_age","site","nest","brood","eggs","mom_band","dad_band","band","feathers","rwl","mites_nestling","lysis_amt","mass","survived","nestling_notes","mites_pt","nest_notes","nestling_manipulated","nestling_treatment","nestling_manipulation_date","lysis","nestling_num","year","mites","mom_origin","dad_origin","original_site","original_nest","additional_data","clutch_size","max_brood","mites_nest","plasma_amount","slides","tarsus","nestling_manipulation","plasma","sex","mom_biol_band","dad_biol_band"
"2008-06-26","","","10","Shangri La","1.0","1","","2540-44577","2540-44801","2351-05696","Y","39","","","16","","","","","N","","","Y","4/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-06-26","","","10","Shangri La","1.0","1","","2540-44577","2540-44801","2351-05697","Y","56","","","19.5","","","","","N","","","Y","5/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","M","",""
"2008-06-30","","","10","Schaap","30.0","1","","2540-44553","2540-44548","2351-05698","Y","38","","","16","","","","","N","","","Y","1/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-06-30","","","10","Schaap","30.0","1","","2540-44553","2540-44548","2351-05699","Y","43","","","17.5","","","","","N","","","Y","2/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","F","",""
"2008-06-30","","","10","Schaap","30.0","1","","2540-44553","2540-44548","2351-05700","Y","44","","","18.5","","","","","N","","","Y","3/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","F","",""
"2008-06-13","","","10","Blue Cloud","4.0","1","","2540-44559","2540-44740","2351-05701","Y","43","","","20","","","","","N","","","Y","1/4","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-06-13","","","10","Blue Cloud","4.0","1","","2540-44559","2540-44740","2351-05702","Y","34","","","17.5","","","","","N","","","Y","2/4","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-06-13","","","10","Blue Cloud","4.0","1","","2540-44559","2540-44740","2351-05703","Y","45.5","","","19.5","","","","","N","","","Y","3/4","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-06-13","","","10","Blue Cloud","4.0","1","","2540-44559","2540-44740","2351-05704","Y","41","","","18","","","","","N","","","Y","4/4","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-06-19","","","12","Mayas","22.0","1","","2540-44525","2540-44561","2351-05705","Y","65","","","21","","","","","N","","","Y","1/3","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","","",""
"2008-06-19","","","12","Mayas","22.0","1","","2540-44525","2540-44561","2351-05706","Y","64.5","","","21.5","","","","","N","","","Y","2/3","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","","",""
"2008-06-19","","","12","Mayas","22.0","1","","2540-44525","2540-44561","2351-05707","Y","62","","","23","","","","","N","","","Y","3/3","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","","",""
"2008-07-01","","","10","Mayas","9.0","1","","2540-44570","2540-44569","2351-05708","Y","46","","","19.5","","","","","N","","","Y","1/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","","",""
