"Bird","date","B_total.bright","B_avg.bright","B_hue","B_chrom","R_total.bright","R_avg.bright","R_hue","R_chrom","T_total.bright","T_avg.bright","T_hue","T_chrom","V_total.bright","V_avg.bright","V_hue","V_chrom"
"2850-57580","06_17_22",46022.4766666667,22.9424111000332,647.108,0.468469623510907,55127.15,27.4811316051844,625.399,0.46555681385905,18340.5466666667,9.14284479893652,667.427,0.560214831944791,61676.9,30.7462113659023,608.760333333333,0.465611781209316
"2850-57581","06_17_22",54238.56,27.0381655034895,616.048333333333,0.47276501564246,37998.56,18.9424526420738,641.091666666667,0.521103482891469,25078.6425,12.5018158025922,674.1035,0.557442635889697,39374.54,19.6283848454636,664.102,0.524143762079921
"2850-57582","06_17_22",49740.4233333333,24.7958241940844,627.058333333333,0.471185748327621,57168.6366666667,28.4988218677301,626.731333333333,0.467628454752704,NA,NA,NA,NA,21799.8966666667,10.86734629445,643.740666666667,0.526212894914188
"2850-57583","06_17_22",41231.9133333333,20.5542937853107,611.004,0.481698875792086,42202.7966666667,21.0382834828847,600.043666666667,0.492798434764876,30717.5533333333,15.31283815221,667.797666666667,0.525054731682817,55980.05,27.9063060817547,622.747,0.467220258029149
"2850-57584","06_17_22",75346.8766666667,37.5607560651379,609.721666666667,0.391313514333636,74751.6933333333,37.2640545031572,610.363,0.421697612906756,42593.0266666667,21.2328148886673,626.731333333333,0.505151262757966,71896.42,35.8406879361914,625.776333333333,0.457763046534174
"2850-57585","06_17_22",51347.7766666667,25.5970970422067,599.394666666667,0.444705538085853,77932.9866666667,38.8499435028249,588.369,0.434593729385777,31090.8666666667,15.498936523762,628.063,0.532900140532851,76244.1433333333,38.0080475240944,610.042666666667,0.431624901362471
"2850-57586","06_20_22",43969.85,21.9191674975075,653.417,0.402461872675993,52698.5066666667,26.2704420073114,626.731666666667,0.422343166938632,36035.4233333333,17.9638202060485,660.109,0.500664057301256,54512.4966666667,27.1747241608508,632.780333333333,0.452700010527612
"2850-57587","06_20_22",20363.7233333333,10.1514074443337,669.785333333333,0.544031824181401,32274.4566666667,16.0889614489864,688.765666666667,0.520874933648192,20626.72,10.2825124626122,679.461666666667,0.510329456789314,32035.0833333333,15.9696327683616,647.369,0.514558241839865
"2850-57588","06_20_22",45344.79,22.6045812562313,616.087333333333,0.444473502997381,53390.6966666667,26.6155018278498,627.756666666667,0.468672326916677,25117.6133333333,12.5212429378531,669.785333333333,0.52921739267687,38302.9033333333,19.0941691591891,627.372333333333,0.481473445798661
"2850-57589","06_20_22",38673.2633333333,19.2787952808242,643.740666666667,0.490091496396622,33954.8,16.9266201395813,627.372333333333,0.501144528929523,25377.4566666667,12.6507760053174,675.790333333333,0.53123715270121,39168.5933333333,19.5257195081422,627.686333333333,0.519492938846239
"2850-57590","07_03_22",57124.53,28.4768344965105,590.078333333333,0.489398904724439,78788.3333333333,39.2763376537055,585.744333333333,0.438723076538288,30609.4133333333,15.2589298770356,679.439,0.538845419424666,58920.5466666667,29.3721568627451,622.423333333333,0.445810542915525
"2850-57591","07_03_22",38287.83,19.0866550348953,627.052,0.440500569377172,55458.3966666667,27.6462595546693,663.073,0.44609149079444,29741.5866666667,14.8263143901628,653.407,0.52973794547707,53551.0833333333,26.6954553007644,636.718,0.455135491582795
"2850-57592","07_03_22",44155.83,22.0118793619143,636.397666666667,0.490939300472316,64254.9933333333,32.0314024592888,689.448333333333,0.448430888676468,32153.9766666667,16.028901628448,689.758666666667,0.527105057951475,52213.7766666667,26.0288019275507,652.776,0.438358513740475
"2850-57593","07_03_22",47869.73,23.8632751744766,625.776333333333,0.482830807248848,56557.7733333333,28.1943037554005,663.073,0.484317744526619,46098.8166666667,22.9804669325357,609.401666666667,0.445640644618901,57795.78,28.8114556331007,653.086333333333,0.452694743721839
"2850-57594","07_03_22",52696.6,26.2694915254237,636.718,0.49116036966398,50821.76,25.3348753738784,609.722,0.439644667058992,42184.16,21.0289930209372,610.363,0.490789683147453,57394.4133333333,28.6113725490196,659.779,0.444650604299003
"2850-57595","07_03_22",47390.9266666667,23.6245895646394,659.779,0.469478756592768,51227.49,25.5371335992024,679.768333333333,0.45856839034526,22539.4966666667,11.2360402126952,679.052666666667,0.537790724154644,43908.9933333333,21.8888301761383,689.758666666667,0.497238992854446
"2850-57596","07_03_22",46900.45,23.3800847457627,647.749,0.464151908987511,60698.23,30.2583399800598,608.760333333333,0.456319747469536,24270.03,12.0987188434696,690.069,0.546349200273038,39418.8833333333,19.6504901960784,650.433333333333,0.480447546641357
"2850-57597","07_03_22",67314.99,33.5568245264207,609.401333333333,0.464757975865083,61197.4766666667,30.5072166832835,608.760333333333,0.444030397775082,30523.4566666667,15.2160800930542,658.059666666667,0.516727088255662,62088.7333333333,30.9515121302758,609.401666666667,0.447676350463447
"2850-57598","07_05_22",58806.7133333333,29.3154104353606,610.042333333333,0.449878887693939,84502.86,42.1250548354935,595.76,0.430041529350388,38624.41,19.2544416749751,643.024333333333,0.518649398705521,65948.39,32.8755682951147,607.022666666667,0.501079034192827
"2850-57600","07_05_22",39658.5466666667,19.7699634430043,627.372333333333,0.514829768379656,49483.5266666667,24.6677600531738,627.686333333333,0.46334606199095,35104.3333333333,17.4996676636756,627.686333333333,0.478462942601768,53614.2366666667,26.726937520771,611.004,0.479796557882935
"2850-57604","07_05_22",45113.3333333333,22.4891990694583,657.739333333333,0.491608121259256,56175.8666666667,28.0039215686275,675.424333333333,0.482258111453143,29727.8266666667,14.819454968428,643.740666666667,0.504780436722835,37489.9333333333,18.6888999667664,651.435333333333,0.513669593478788
"2850-57607","07_05_22",46674.9366666667,23.2676653373214,651.743333333333,0.475098934703393,47586.9766666667,23.7223213692257,634.732666666667,0.500003240054261,34437.4033333333,17.1672000664673,673.434333333333,0.534156573666566,44712.82,22.2895413758724,606.700666666667,0.537571944386661
"2850-57609","05_28_22",49708.23,24.7797756729811,631.694666666667,0.458920893782103,60718.47,30.2684297108674,611.004,0.465549311334261,45545.5433333333,22.7046576935859,627.372333333333,0.474206187937707,59540.6733333333,29.6812927883018,611.004,0.445512158904386
"2850-57612","05_26_22",46048.0866666667,22.9551777999335,627.372333333333,0.446093783758016,63282.05,31.5463858424726,599.398666666667,0.423674908312291,26533.8333333333,13.2272349617813,638.101666666667,0.518363044336433,59138.71,29.4809122632104,626.417666666667,0.432903161238913
"2850-57614","05_26_22",47060.0433333333,23.4596427384513,610.747666666667,0.480179557031081,62206.2633333333,31.0101013625789,618.34,0.47807001554571,26692.8033333333,13.3064822200066,674.107666666667,0.524842310834735,52186.62,26.0152642073779,611.004,0.457140548837796
"2850-57619","06_25_22",36992.4866666667,18.4409205716185,678.753333333333,0.51362465516019,49963.21,24.9068843469591,656.161,0.496671541801898,24741.53,12.3337637088734,674.806333333333,0.548000713971622,46276.0233333333,23.0688052509139,643.039333333333,0.503406544998096
"2850-57620","06_17_22",45582.1533333333,22.7229079428382,611.004,0.464821292191058,43346.42,21.6083848454636,611.004,0.492100235600418,17861.2033333333,8.90388999667664,627.686333333333,0.510576941318134,43812.0033333333,21.8404802259887,627.686333333333,0.466018925214989
"2850-57629","06_20_22",40047.2366666667,19.9637271518777,688.765666666667,0.488795698044177,50263.41,25.0565353938185,670.057,0.4928613820023,31516.7833333333,15.7112578929877,685.408333333333,0.536531030987172,35487.21,17.6905333998006,658.722666666667,0.496600632078232
"2850-57633","07_01_22",32878.0233333333,16.3898421402459,659.167,0.524913975040542,35311.3466666667,17.602864739116,659.167,0.553353548152028,22462.1833333333,11.1974991691592,666.173666666667,0.509885342938454,39426.12,19.6540977068794,658.789666666667,0.499188939947134
"2850-57635","06_25_22",46513.0266666667,23.1869524759056,610.683666666667,0.404177279235523,56240.4466666667,28.0361149883682,611.004,0.44428789806603,26978.3733333333,13.448840146228,643.740666666667,0.474851404292121,49269.36,24.5609970089731,611.004,0.446808925166087
"2850-57636","06_23_22",59876.12,29.8485144566301,611.004,0.440130966175523,60904.99,30.3614107676969,611.004,0.470772751752016,26648.1933333333,13.2842439348621,674.107666666667,0.527773958915633,64958.2266666667,32.3819674310402,611.004,0.457439725804116
"2850-57637","05_28_22",37614.91,18.7512013958126,659.167,0.460529560436264,45644.59,22.7540329012961,642.151,0.479011296999754,42302.8833333333,21.0881771352609,658.789666666667,0.490705084095573,42464.1866666667,21.1685875706215,659.167,0.484169565354287
"2850-57638","05_28_22",36662.2366666667,18.2762894649385,611.004,0.486914463683041,36223.0566666667,18.0573562645397,627.686333333333,0.481711046913045,20442.1833333333,10.1905201063476,670.095666666667,0.487622013139814,46308.03,23.0847607178465,644.368666666667,0.442975542029932
