band,first_date,first_year,est.age,site_2022,certainty
2850-57642,2022-06-10,2022,1,Sol y Sombra,low
2850-57643,2022-06-13,2022,1,Dome House,low
2850-57646,2022-06-17,2022,1,CHR,low
2850-57647,2022-06-17,2022,1,CHR,low
2850-57653,2022-06-17,2022,1,CHR,low
2850-57657,2022-06-17,2022,1,CHR,low
2850-57662,2022-06-24,2022,1,Karen's ,low
2850-57669,2022-06-28,2022,1,CHR,low
2850-57671,2022-06-28,2022,1,CHR,low
2850-57677,2022-07-03,2022,1,Maya's,low
2850-57678,2022-07-03,2022,1,Maya's,low
2850-57679,2022-07-03,2022,1,Starlight,low
2850-57686,2022-07-07,2022,1,Boyer,low
2850-57689,2022-07-07,2022,1,Boyer,low
2850-57690,2022-07-07,2022,1,Plumbumpy,low
2850-57691,2022-07-07,2022,1,Marte's,low
2850-57694,2022-07-11,2022,1,Quick,low
2850-57695,2022-07-11,2022,1,Quick,low
2850-57699,2022-07-16,2022,1,Speedwell,low
2850-57742,2022-06-17,2022,1,CHR,low
2850-57743,2022-06-17,2022,1,CHR,low
2850-57744,2022-06-17,2022,1,CHR,low
2850-57745,2022-06-17,2022,1,CHR,low
2850-57751,2022-08-15,2022,1,Jays,low
2850-57752,2022-08-15,2022,1,McCauley,low
2850-57880,2022-06-17,2022,1,CHR,low
2850-57881,2022-06-17,2022,1,CHR,low
2850-57889,2022-07-03,2022,1,Maya's,low
2850-57890,2022-07-03,2022,1,Maya's,low
2850-57897,2022-07-11,2022,1,Cargill,low
2870-64906,2022-07-20,2022,1,Boyer,low
2870-64907,2022-08-07,2022,1,CHR,low
2870-64913,2022-08-09,2022,1,James Ditch,low
2870-64918,2022-08-11,2022,1,Boyer,low
