band,site,recap,sex,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,color_top,color_bottom,mb_tape,cb_side,lysis,nest_1,mate_band_1,ci_1,eggs_1,hatched_1,day_12_1,nest_fate_1,success_1,nest_2,mate_band_2,ci_2,eggs_2,hatched_2,day_12_2,nest_fate_2,success_2,nest_3,mate_band_3,ci_3,eggs_3,hatched_3,day_12_3,nest_fate_3,success_3,nest_4,mate_band_4,ci_4,eggs_4,hatched_4,day_12_4,nest_fate_4,success_4,throat_avg_bright,breast_avg_bright,belly_avg_bright,vent_avg_bright,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts
2811-83207,Dome House,Y,F,2022-06-13,118,118,118,Y,Y,75,75,75.5,76,76,75.5,18.67,Orange,Purple,Green,L,Y,1,2850-57643,2022-06-02,3,2,2,fledged,Y,2,2850-57643,2022-07-17,5,4,4,failed,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,20.11934696,23.95448986,15.60926886,17.37049684,2022,153,198,NA,NA,118,75.83333333,75.16666667
2811-83208,Colorado Horse Rescue,Y,M,2022-06-20,118,118,118,Y,Y,89.5,89.5,89.5,87,87,87,16.9,Yellow,Dk Blue,NONE,L,Y,4,2850-57585,2022-05-31,4,3,3,fledged,Y,4.2,2850-57585,2022-07-19,4,4,2,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.73416916,21.00459455,26.39878531,23.23742606,2022,151,200,NA,NA,118,87,89.5
2811-83402,Schaap,Y,F,2022-07-05,115,115,115,Y,Y,72,72,72,71,71.5,71,17.12,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.84444832,29.39984214,23.45876703,28.70068627,2022,NA,NA,NA,NA,115,71.16666667,72
2811-83409,Colorado Horse Rescue,Y,F,2022-06-20,112,112,112,Y,Y,73,73.5,73,73,73,73,16.9,Dk Green,Dk Green,NONE,R,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.07540379,35.11587238,35.97691093,30.50786972,2022,NA,NA,NA,NA,112,73,73.16666667
2850-57518,Make Believe,Y,M,2022-06-14,123,122.5,123,N,Y,NA,NA,NA,101,101.5,101,18.14,Yellow,Orange,NONE,L,Y,14,2850-57576,2022-05-28,5,4,4,fledged,Y,69,2850-57576,2022-07-14,4,2,2,failed,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.90719508,19.59704719,20.80960452,18.70017448,2022,148,195,NA,NA,122.8333333,101.1666667,NA
2850-57519,Golden Grizzly,Y,F,2022-07-14,123,123,123,Y,Y,78,78,78,79,79,79,19.83,Black,Dk Green,NONE,L,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.4577102,27.2004553,26.39951479,33.3367348,2022,NA,NA,NA,NA,123,79,78
2850-57550,Mary Anns,Y,F,2022-08-10,118,118,118,Y,Y,79,79,79,79,79,78.5,18.59,Pink,Pink,Blue,R,Y,1,2870-64916,2022-07-29,4,4,1,failed,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,22.21368561,31.980221,27.09730974,28.8769209,2022,210,NA,NA,NA,118,78.83333333,79
2850-57551,Struthers,Y,F,2022-06-01,120.5,120.5,120.5,Y,Y,78,78,78,77.5,77.5,77.5,19,Lt Green,Dk Green,Green,R,Y,10,2850-57552,2022-05-11,5,5,5,fledged,Y,20,2850-57552,2022-06-26,6,5,5,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,21.72451147,25.07222499,24.04588401,29.70191592,2022,131,177,NA,NA,120.5,77.5,78
2850-57552,Struthers,Y,M,2022-06-01,124.5,124,124,N,Y,95.5,95.5,95.5,95,95,95,17.6,Orange,Red,NONE,R,Y,10,2850-57551,2022-05-11,5,5,5,fledged,Y,20,2850-57551,2022-06-26,6,5,5,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.47890661,28.13388501,26.12840312,25.80811565,2022,131,177,NA,NA,124.1666667,95,95.5
2850-57557,Cooks,Y,M,2022-06-24,117,117,117,Y,Y,83.5,84,83.5,84,84,84,18.25,Lt Blue,Lt Green,NONE,R,Y,6,2850-57609,2022-05-15,5,5,5,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.35665503,21.70364905,15.87132436,19.32620306,2022,135,NA,NA,NA,117,84,83.66666667
2850-57560,Golden Grizzly,Y,M,2022-07-14,121,121,121,Y,Y,95,95,95,96,96,96,17.8,Red,Purple,NONE,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,10.43612496,17.78415753,20.44567464,17.90873214,2022,NA,NA,NA,NA,121,96,95
2850-57563,Schaap,Y,M,2022-07-05,117,117,117,Y,Y,88,88,88,89,89,89,16.4,Lt Green,Red,NONE,R,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.03856929,29.04445331,23.97347624,21.79483549,2022,NA,NA,NA,NA,117,89,88
2850-57565,Blue Cloud,Y,M,2022-06-06,121.5,122,121.5,Y,Y,92.5,92.5,92.5,94,94,94,18.58,Yellow,Lt Green,Yellow,L,Y,19,2850-57870,2022-05-21,3,3,0,failed,N,24,2850-57870,2022-06-22,5,5,5,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,9.62943669,17.44787139,18.22828681,20.49204719,2022,141,173,NA,NA,121.6666667,94,92.5
2850-57567,Colorado Horse Rescue,Y,M,2022-06-17,121.5,121.5,121.5,Y,Y,102.5,102.5,102.5,102,102.5,102,16.6,DK Blue,White,NONE,R,Y,43,2850-57736,2022-05-29,5,5,4,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,10.56012296,26.35612994,22.28285809,16.73888169,2022,149,NA,NA,NA,121.5,102.1666667,102.5
2850-57568,Colorado Horse Rescue,Y,F,2022-06-17,118,118,118,N,Y,NA,NA,NA,79.5,79.5,79.5,15.37,Pink,Orange,NONE,R,Y,96,2850-57806,2022-05-18,5,5,4,fledged,Y,96.2,2850-57806,2022-07-10,5,4,3,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.13231971,25.47213526,23.5398787,23.32200897,2022,138,191,NA,NA,118,79.5,NA
2850-57570,Colorado Horse Rescue,Y,M,2022-06-17,121.5,121.5,121.5,N,Y,NA,NA,NA,90,90,90,16.51,White,Orange,NONE,R,Y,133,2850-57648,2022-06-10,3,1,1,fledged,Y,151,2850-57648,2022-06-30,4,3,3,failed,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.84077767,23.06811898,25.67366733,19.07592556,2022,161,181,NA,NA,121.5,90,NA
2850-57571,Colorado Horse Rescue,Y,F,2022-06-17,119,119.5,119,Y,N,86,86,85.5,79.5,79,79,20.23,White,Red,NONE,R,Y,58,2850-57579,2022-05-24,4,3,3,fledged,Y,139,2850-57880,2022-06-18,4,3,1?,NA,NA,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.76718677,24.15598039,22.57087571,14.77255068,2022,144,169,NA,NA,119.1666667,79.16666667,85.83333333
2850-57572,Blue Cloud,N,F,2022-05-26,116,116,116,Y,Y,73,73,73,72.5,72.5,72.5,21.39,Red,Orange,Blue,L,Y,16,2850-57901,2022-05-22,2+,0,0,fell,N,5,2850-57901,2022-05-30,4,1,1,fledged,Y,5.2,2850-57901,2022-07-10,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,14.36983716,26.78334829,24.28170156,21.60617979,2022,142,150,191,NA,116,72.5,73
2850-57573,Cooks,N,M,2022-05-28,117,117,117.5,Y,Y,87,87,87,87,88,87.5,18.3,Orange,Orange,NONE,R,Y,31,2850-57663,2022-05-29,4,4,4,fledged,Y,14,2850-57663,2022-07-19,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.92033898,24.59975573,31.1244234,21.93607178,2022,149,200,NA,NA,117.1666667,87.5,87
2850-57574,Cooks,N,M,2022-05-28,121,121,121,Y,Y,90,90,90,88,88,88,18.7,Purple,Red,Blue,L,Y,4,2850-57575,2022-06-02,4,4,4,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.90285975,21.77220837,18.26303423,20.35447823,2022,153,NA,NA,NA,121,88,90
2850-57575,Cooks,N,F,2022-05-28,118,118.5,118,Y,Y,76.5,76.5,76.5,73,74,73,19.8,White,Orange,Blue,R,Y,4,2850-57574,2022-06-02,4,4,4,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.39330841,38.62646062,29.39766035,30.38286142,2022,153,NA,NA,NA,118.1666667,73.33333333,76.5
2850-57576,Make Believe,N,F,2022-06-02,118,118,118,Y,Y,79,79.5,79.5,79,79.5,79,17.9,Black,Pink,White,L,Y,14,2850-57518,2022-05-28,5,4,4,fledged,Y,69,2850-57518,2022-07-14,4,2,2,failed,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.04054005,31.59471751,29.94176304,27.9942888,2022,148,195,NA,NA,118,79.16666667,79.33333333
2850-57577,Colorado Horse Rescue,N,M,2022-06-17,119,119,119,Y,Y,91,91.5,91,90.5,91,91,18.2,Yellow,White,NONE,R,Y,128,2870-65003,2022-06-10,4,4,4,fledged,Y,150,2870-65003,2022-07-29,5,5,1,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,20.92472416,28.83623131,28.80829345,29.54534563,2022,161,210,NA,NA,119,90.83333333,91.16666667
2850-57578,Colorado Horse Rescue,N,M,2022-06-17,119,119,119,Y,Y,91.5,91.5,91.5,91.5,91.5,91.5,17.2,Lt Blue,Dk Blue,NONE,R,Y,99,2850-57883,2022-06-06,5,5,5,fledged,Y,99.2,2850-57883,2022-07-26,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,10.81633932,15.67680791,20.72179628,11.67128448,2022,157,207,NA,NA,119,91.5,91.5
2850-57579,Colorado Horse Rescue,N,M,2022-06-17,118.5,118.5,118.5,Y,Y,92,92,92,93.5,93.5,93.5,16.3,DK Blue,Lt Blue,NONE,L,Y,58,2850-57571,2022-05-24,4,3,3,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.31949153,24.77905949,18.07848455,24.4043104,2022,144,NA,NA,NA,118.5,93.5,92
2850-57580,Colorado Horse Rescue,N,M,2022-06-17,117.5,117.5,117.5,N,Y,NA,NA,NA,87.5,88,88,16.2,Lt Blue,Lt Blue,NONE,L,Y,80,2850-57654,2022-06-01,4,4,4,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,9.142844799,27.48113161,22.9424111,30.74621137,2022,152,NA,NA,NA,117.5,87.83333333,NA
2850-57581,Colorado Horse Rescue,N,M,2022-06-17,116,116,116,Y,Y,83,83,83,82.5,82.5,82.5,15.5,White,Yellow,NONE,R,Y,66,2850-57652,2022-05-22,3,3,3,fledged,Y,16,2850-57652,2022-06-10,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.5018158,18.94245264,27.0381655,19.62838485,2022,142,161,NA,NA,116,82.5,83
2850-57582,Colorado Horse Rescue,N,M,2022-06-17,118,118,118,Y,Y,86,86,86,88.5,88.5,88.5,15.9,Orange,Yellow,NONE,L,Y,74,2850-57746,2022-05-30,4,3,3,fledged,Y,148,2870-64909,2022-07-30,5,5,5,fledged,Y,6,2850-57746,2022-07-21,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,28.49882187,24.79582419,10.86734629,2022,150,211,202,NA,118,88.5,86
2850-57583,Colorado Horse Rescue,N,F,2022-06-17,114.5,114,114.5,Y,Y,79,79,79,79,79.5,79,17.7,DK Blue,Black,NONE,R,Y,97,2850-57589,2022-05-28,5,5,5,fledged,Y,19,2850-57589,2022-06-20,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.31283815,21.03828348,20.55429379,27.90630608,2022,148,171,NA,NA,114.3333333,79.16666667,79
2850-57584,Colorado Horse Rescue,N,F,2022-06-17,113,113,113,Y,Y,73.5,74,74,74,74.5,74,17.9,Lt Green,Black,NONE,R,Y,7,unknown,2022-06-04,5,4,0,predated,N,9,UNB,2022-06-23,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,21.23281489,37.2640545,37.56075607,35.84068794,2022,155,174,NA,NA,113,74.16666667,73.83333333
2850-57585,Colorado Horse Rescue,N,F,2022-06-17,121,121,121,Y,Y,76,76,76,76,76,76,15.5,Lt Green,White,NONE,R,Y,4,2811-83208,2022-05-31,4,3,3,fledged,Y,4.2,2811-83208,2022-07-19,4,4,2,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.49893652,38.8499435,25.59709704,38.00804752,2022,151,200,NA,NA,121,76,76
2850-57586,Colorado Horse Rescue,N,F,2022-06-20,116.5,116.5,116.5,Y,Y,78.5,79,79,79,79,78.5,19.4,Purple,Dk Blue,NONE,R,Y,33,2850-57669,2022-05-31,5,0,0,unhatched,N,33.2,2850-57669,2022-07-06,1,0,0,unhatched,N,149,2850-57669,2022-07-24,5,4,NA,NA,NA,NA,,NA,NA,NA,NA,,,17.96382021,26.27044201,21.9191675,27.17472416,2022,151,187,205,NA,116.5,78.83333333,78.83333333
2850-57587,Colorado Horse Rescue,N,M,2022-06-20,NA,NA,NA,N,Y,NA,NA,NA,111,111,111,19.2,Black,Dk Green,NONE,R,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,10.28251246,16.08896145,10.15140744,15.96963277,2022,NA,NA,NA,NA,NA,111,NA
2850-57588,Colorado Horse Rescue,N,F,2022-06-20,120,120,119.5,Y,Y,77,77,76.5,79,78,78,18.1,Pink,Red,NONE,L,Y,86,2850-57653,2022-05-31,4,0,0,unhatched,N,45,2850-57653,2022-07-03,5,4,3,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.52124294,26.61550183,22.60458126,19.09416916,2022,151,184,NA,NA,119.8333333,78.33333333,76.83333333
2850-57589,Colorado Horse Rescue,N,M,2022-06-20,119.5,120,120,Y,Y,96.5,96.5,96.5,97,97,97,17.5,Lt Green,Yellow,NONE,L,Y,97,2850-57583,2022-05-28,5,5,5,fledged,Y,19,2850-57583,2022-06-20,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.65077601,16.92662014,19.27879528,19.52571951,2022,148,171,NA,NA,119.8333333,97,96.5
2850-57590,Mayas,N,F,2022-07-03,124,124,124,Y,Y,84.5,84.5,84.5,81.5,81.5,82,19.2,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.25892988,39.27633765,28.4768345,29.37215686,2022,NA,NA,NA,NA,124,81.66666667,84.5
2850-57591,Mayas,N,F,2022-07-03,115,115.5,115.5,Y,Y,78.5,78.5,78.5,76.5,76.5,76.5,17,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.82631439,27.64625955,19.08665503,26.6954553,2022,NA,NA,NA,NA,115.3333333,76.5,78.5
2850-57592,Mayas,N,F,2022-07-03,121,121,121,Y,Y,86,86,86,85.5,85.5,85,19.8,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.02890163,32.03140246,22.01187936,26.02880193,2022,NA,NA,NA,NA,121,85.33333333,86
2850-57593,Mayas,N,M,2022-07-03,118.5,118,118.5,Y,Y,88,88,88,87,87,87,18,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,22.98046693,28.19430376,23.86327517,28.81145563,2022,NA,NA,NA,NA,118.3333333,87,88
2850-57594,Mayas,N,F,2022-07-03,119,119,119,Y,Y,75,75,75,75,75,75,17.5,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,21.02899302,25.33487537,26.26949153,28.61137255,2022,NA,NA,NA,NA,119,75,75
2850-57595,Mayas,N,M,2022-07-03,121.5,121.5,121.5,Y,N,104,104,104,NA,NA,NA,17.9,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.23604021,25.5371336,23.62458956,21.88883018,2022,NA,NA,NA,NA,121.5,NA,104
2850-57596,Mayas,N,F,2022-07-03,115,115,115,Y,Y,76,76,76,74,74.5,74.5,17.1,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.09871884,30.25833998,23.38008475,19.6504902,2022,NA,NA,NA,NA,115,74.33333333,76
2850-57597,Mayas,N,M,2022-07-03,119.5,119.5,119.5,N,Y,NA,NA,NA,90,90,90,16.9,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.21608009,30.50721668,33.55682453,30.95151213,2022,NA,NA,NA,NA,119.5,90,NA
2850-57598,Schaap,N,M,2022-07-05,119,119.5,119,Y,N,96,96,96,NA,NA,NA,16.7,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,19.25444167,42.12505484,29.31541044,32.8755683,2022,NA,NA,NA,NA,119.1666667,NA,96
2850-57600,Schaap,N,M,2022-07-05,118.5,118.5,118.5,N,Y,68,68,68,82,82,82,16.4,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.49966766,24.66776005,19.76996344,26.72693752,2022,NA,NA,NA,NA,118.5,82,68
2850-57604,Schaap,Y,F,2022-07-05,120,120,120,Y,Y,81.5,82,81.5,81.5,81.5,81.5,19,Dk Blue,Black,NONE,L,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.81945497,28.00392157,22.48919907,18.68889997,2022,NA,NA,NA,NA,120,81.5,81.66666667
2850-57607,Schaap,Y,M,2022-07-05,119,119,119,Y,Y,94,94,93.5,95,95,95,17.02,White,Lt Blue,NONE,R,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.16720007,23.72232137,23.26766534,22.28954138,2022,NA,NA,NA,NA,119,95,93.83333333
2850-57609,Cooks,Y,F,2022-05-28,116,116.5,116,Y,Y,74,74,74,74,74,74,18.1,Pink,Lt Blue,Red,R,Y,6,2850-57557,2022-05-15,5,5,5,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,22.70465769,30.26842971,24.77977567,29.68129279,2022,135,NA,NA,NA,116.1666667,74,74
2850-57612,Blue Cloud,Y,F,2022-05-26,124,123,123,Y,Y,83,82.5,82.5,83.5,83,83,18.9,White,Lt Blue,Green,R,Y,18,2640-97548,2022-05-11,5,5,5,fledged,Y,21,2640-97548,2022-06-27,5,5,5,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.22723496,31.54638584,22.9551778,29.48091226,2022,131,178,NA,NA,123.3333333,83.16666667,82.66666667
2850-57614,Blue Cloud,Y,M,2022-05-26,116,116,116.5,Y,Y,92,92,92.5,92.5,92.5,92.5,18.3,Dk Blue,Black,White,R,Y,22,2850-57871,2022-05-15,3,2,2,fledged,Y,14,2850-57871,2022-06-27,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.30648222,31.01010136,23.45964274,26.01526421,2022,135,178,NA,NA,116.1666667,92.5,92.16666667
2850-57619,Reinarz,Y,M,2022-06-25,120,120,120,Y,Y,90,90,90,90.5,91,90.5,17.3,Orange,Lt Blue,NONE,R,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.33376371,24.90688435,18.44092057,23.06880525,2022,NA,NA,NA,NA,120,90.66666667,90
